,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
68,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",PKUanonym/REKCARC-TSC-UHT,179613976,C++,REKCARC-TSC-UHT,6,7886,
69,A fast JSON parser/generator for C++ with both SAX/DOM style API,Tencent/rapidjson,17391973,C++,rapidjson,395,7812,99.9211045364892
70,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",microsoft/AirSim,81887991,C++,AirSim,463,7705,
71,Notepad++ official repository,notepad-plus-plus/notepad-plus-plus,33014811,C++,notepad-plus-plus,952,7601,
72,"An efficient, small mobile key-value storage framework developed by WeChat. Works on iOS, Android, macOS and Windows.",Tencent/MMKV,149111813,C++,MMKV,4,7523,
73,Native cross-platform MongoDB management tool,Studio3T/robomongo,6580000,C++,robomongo,618,7481,
74,A toolkit for making real world machine learning and data analysis applications in C++,davisking/dlib,16331291,C++,dlib,48,7402,
75,ClickHouse is a free analytic DBMS for big data.,yandex/ClickHouse,60246359,C++,ClickHouse,820,7194,
76,Nintendo Switch Emulator,yuzu-emu/yuzu,116167731,C++,yuzu,104,7160,
77,An open source library for face detection in images. The face detection speed can reach 1500FPS. ,ShiqiYu/libfacedetection,29518121,C++,libfacedetection,93,7045,
78,An open source re-implementation of RollerCoaster Tycoon 2 🎢,OpenRCT2/OpenRCT2,18348651,C++,OpenRCT2,1164,7039,
79,"Solidity, the Contract-Oriented Programming Language",ethereum/solidity,40892817,C++,solidity,652,7021,
80,"Provide ESP8266 based itead Sonoff with Web, MQTT and OTA firmware using Arduino IDE or PlatformIO",arendst/Sonoff-Tasmota,80286288,C++,Sonoff-Tasmota,24,7016,
81,openFrameworks is a community-developed cross platform toolkit for creative coding in C++.,openframeworks/openFrameworks,345337,C++,openFrameworks,911,7013,
82,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS and WASM/WebGL",google/filament,143455116,C++,filament,36,6978,
83,"Tars is a high-performance RPC framework based on name service and Tars protocol, also integrated administration platform, and implemented hosting-service via flexible schedule.",TarsCloud/Tars,79316451,C++,Tars,44,6966,
84,Offline documentation browser inspired by Dash,zealdocs/zeal,7711472,C++,zeal,131,6921,
85,Parsing gigabytes of JSON per second ,lemire/simdjson,126412363,C++,simdjson,42,6919,
86,A brief computer graphics / rendering course,ssloy/tinyrenderer,29397594,C++,tinyrenderer,5,6878,
87,"Open source core of Synergy, the keyboard and mouse sharing tool",symless/synergy-core,25135037,C++,synergy-core,259,6772,
88,A library for efficient similarity search and clustering of dense vectors.,facebookresearch/faiss,81227005,C++,faiss,33,6757,
89,"Swift audio synthesis, processing, & analysis platform for iOS, macOS and tvOS",AudioKit/AudioKit,16096528,C++,AudioKit,4,6689,
90,A cross-platform shadowsocks GUI client,shadowsocks/shadowsocks-qt5,18427187,C++,shadowsocks-qt5,53,6689,
91,software version control visualization,acaudwell/Gource,303762,C++,Gource,74,6671,
92,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",horovod/horovod,99846383,C++,horovod,321,6638,
93,PS3 emulator/debugger,RPCS3/rpcs3,6520784,C++,rpcs3,447,6627,
94,ncnn is a high-performance neural network inference framework optimized for the mobile platform,Tencent/ncnn,95879426,C++,ncnn,141,6567,
95,qBittorrent BitTorrent client,qbittorrent/qBittorrent,3351871,C++,qBittorrent,2581,6556,
96,AndFix is a library that offer hot-fix for Android App.,alibaba/AndFix,42489883,C++,AndFix,237,6555,
97,Cap'n Proto serialization/RPC system - core tools and C++ library,capnproto/capnproto,9090933,C++,capnproto,98,6550,
98,A Magic Mask to Alter Android System Systemless-ly,topjohnwu/Magisk,67702184,C++,Magisk,33,6445,
99,Apache Thrift,apache/thrift,310611,C++,thrift,19,6403,89.4179894179894
100,"Cross-platform, graphics API agnostic, ""Bring Your Own Engine/Framework"" style rendering library.",bkaradzic/bgfx,3925242,C++,bgfx,218,6399,
101,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",VowpalWabbit/vowpal_wabbit,265995,C++,vowpal_wabbit,74,6386,71.7618586640852
102,:rainbow: Node.js bindings to libsass,sass/node-sass,4128353,C++,node-sass,164,6361,75.0
103,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)",aseprite/aseprite,23129458,C++,aseprite,705,6355,
104,"Ceph is a distributed object, block, and file storage platform ",ceph/ceph,2310495,C++,ceph,557,6261,
105,A flexible level editor,bjorn/tiled,1418150,C++,tiled,443,6259,
106,A collection of C++ HTTP libraries including an easy to use HTTP server.,facebook/proxygen,24776728,C++,proxygen,36,6190,
107,"SSDB - A fast NoSQL database, an alternative to Redis",ideawu/ssdb,7561862,C++,ssdb,369,6157,
108,Android NDK samples with Android Studio,googlesamples/android-ndk,35718695,C++,android-ndk,30,6075,
109,A modern formatting library,fmtlib/fmt,7056202,C++,fmt,20,6050,
110,"Customizable Windows terminal with tabs, splits, quake-style, hotkeys and more",Maximus5/ConEmu,2857373,C++,ConEmu,698,6047,
111,Node canvas is a Cairo backed Canvas implementation for NodeJS.,Automattic/node-canvas,948957,C++,node-canvas,158,5967,
112,Fast C++ logging library.,gabime/spdlog,26038648,C++,spdlog,42,5966,
113,"SRS is a simple live streaming cluster, a simple joy.",ossrs/srs,34777562,C++,srs,350,5957,
114,Diablo devolved - magic behind the 1996 computer game,diasurgical/devilution,127684759,C++,devilution,24,5939,
115,A C++ non-blocking network library for multi-threaded server in Linux,chenshuo/muduo,648343,C++,muduo,39,5917,
116,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.,keepassxreboot/keepassxc,52729242,C++,keepassxc,578,5755,67.0731707317073
117,📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。,huihut/interview,120887835,C++,interview,1,5723,
118,Linux system exploration and troubleshooting tool with first class support for containers,draios/sysdig,15926180,C++,sysdig,259,5673,
119,:notebook:Solutions to Introduction to Algorithms,gzc/CLRS,14887195,C++,CLRS,53,5671,
120,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,spotify/annoy,9155431,C++,annoy,11,5536,
121,Abseil Common Libraries (C++),abseil/abseil-cpp,104231541,C++,abseil-cpp,43,5488,
122,A retro game engine for Python,kitao/pyxel,136780445,C++,pyxel,7,5479,
123,"LiteIDE is a simple, open source, cross-platform Go IDE. ",visualfc/liteide,6753728,C++,liteide,277,5379,
124,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",dolphin-emu/dolphin,11577304,C++,dolphin,147,5347,
125,"TrinityCore Open Source MMO Framework (master = 8.1.5.30706, 3.3.5 = 3.3.5a.12340)",TrinityCore/TrinityCore,1204412,C++,TrinityCore,1425,5331,
126,Seamless operability between C++11 and Python,pybind/pybind11,38581626,C++,pybind11,369,5291,
127,"ZeroMQ core engine in C++, implements ZMTP/3.1",zeromq/libzmq,263379,C++,libzmq,137,5270,83.4175084175084
128,"Background Music, a macOS audio utility: automatically pause your music, set individual apps' volumes and record system audio.",kyleneideck/BackgroundMusic,52422583,C++,BackgroundMusic,133,5260,
129,Simple and Fast Multimedia Library,SFML/SFML,1524684,C++,SFML,110,5181,
130,Crow is very fast and easy to use C++ micro web framework (inspired by Python Flask),ipkn/crow,18250334,C++,crow,162,5144,
131,"NoSQL data store using the seastar framework, compatible with Apache Cassandra",scylladb/scylla,28449431,C++,scylla,1070,5144,
132,Free and open-source GUI for radare2 reverse engineering framework,radareorg/cutter,104732438,C++,cutter,174,5077,
133,TattieBogle Xbox 360 Driver (with improvements),360Controller/360Controller,13163423,C++,360Controller,83,5067,
134,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",bulletphysics/bullet3,1605598,C++,bullet3,362,5026,
135,"An easy, flexible, and accurate plate recognition project for Chinese licenses in unconstrained situations. ",liuruoze/EasyPR,24227875,C++,EasyPR,61,5010,
136,A note-taking application that knows programmers and Markdown better.,tamlok/vnote,70038437,C++,vnote,253,5003,
