,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
26,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?,imathis/octopress,341626,Ruby,octopress,267,9515,
27,Where programmers share ideas and help each other grow,thepracticaldev/dev.to,73648678,Ruby,dev.to,351,9505,
28,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity.",jordansissel/fpm,1217404,Ruby,fpm,588,9168,
29,Manage complex tmux sessions easily,tmuxinator/tmuxinator,1157388,Ruby,tmuxinator,86,9069,98.932831136221
30,Easy file attachment management for ActiveRecord,thoughtbot/paperclip,8393,Ruby,paperclip,17,9053,
31,📨 A fully featured open source mail delivery platform for incoming & outgoing e-mail,atech/postal,88740103,Ruby,postal,304,8987,
32,An opinionated framework for creating REST-like APIs in Ruby.,ruby-grape/grape,812393,Ruby,grape,213,8854,98.9224831135413
33,A Lightweight Sass Tool Set,thoughtbot/bourbon,1653882,Ruby,bourbon,4,8847,
34,Acceptance test framework for web applications,teamcapybara/capybara,361310,Ruby,capybara,13,8811,97.7035950110051
35,"Resque is a Redis-backed Ruby library for creating background jobs, placing them on multiple queues, and processing them later.",resque/resque,275604,Ruby,resque,48,8534,83.4142956280361
36,The administration framework for Ruby on Rails applications.,activeadmin/activeadmin,611921,Ruby,activeadmin,251,8470,98.3240223463687
37,"Classier solution for file uploads for Rails, Sinatra and other Ruby web frameworks",carrierwaveuploader/carrierwave,47087,Ruby,carrierwave,122,8352,
38,A guide for programming in style.,thoughtbot/guides,5200099,Ruby,guides,8,8084,
39,Fluentd: Unified Logging Layer (project under CNCF),fluent/fluentd,1918677,Ruby,fluentd,223,7972,39.1189002331377
40,Cron jobs in Ruby,javan/whenever,129791,Ruby,whenever,74,7948,
41,An uroboros program with 100+ programming languages,mame/quine-relay,11423758,Ruby,quine-relay,7,7887,
42,"A library for generating fake data such as names, addresses, and phone numbers.",stympy/faker,96395,Ruby,faker,83,7761,
43,"⚡ A Scope & Engine based, clean, powerful, customizable and sophisticated paginator for Ruby webapps",kaminari/kaminari,1333863,Ruby,kaminari,26,7491,
44,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup.",plataformatec/simple_form,451035,Ruby,simple_form,21,7398,
45,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",Shopify/liquid,15435,Ruby,liquid,149,7181,
46,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,sferik/rails_admin,810796,Ruby,rails_admin,261,7085,94.664914586071
47,OmniAuth is a flexible authentication system utilizing Rack middleware.,omniauth/omniauth,587311,Ruby,omniauth,80,6868,99.9463806970509
48,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",github/linguist,1725199,Ruby,linguist,37,6813,
49,Better error page for Rack apps,BetterErrors/better_errors,7066560,Ruby,better_errors,56,6525,87.4172185430464
50,Minimal authorization through OO design and pure Ruby classes,varvet/pundit,6529205,Ruby,pundit,17,6510,
51,A library for setting up Ruby objects as test data.,thoughtbot/factory_bot,21829,Ruby,factory_bot,25,6501,
52,Hand-crafted frontend development,middleman/middleman,261943,Ruby,middleman,131,6484,
53,Authorization Gem for Ruby on Rails.,ryanb/cancan,375388,Ruby,cancan,259,6313,
54,"YADR - The best vim,git,zsh plugins and the cleanest vimrc you've ever seen",skwp/dotfiles,2798959,Ruby,dotfiles,20,6259,
55,Soulful docs for Swift & Objective-C,realm/jazzy,20552964,Ruby,jazzy,139,6027,
56,A command-line tool that reorganizes your Xcode project folder to match your Xcode groups,venmo/synx,19290579,Ruby,synx,58,5939,
57,🍻 Default formulae for the missing package manager for macOS,Homebrew/homebrew-core,52855516,Ruby,homebrew-core,172,5937,
58,"Pro Git Book Content, 1st Edition - This content is deprecated. See 2nd edition at [progit2](https://github.com/progit/progit2)",progit/progit,261335,Ruby,progit,19,5915,
59,"A systems integration framework, built to bring the benefits of configuration management to your entire infrastructure.",chef/chef,108278,Ruby,chef,577,5828,
60,Guard is a command line tool to easily handle events on file system modifications.,guard/guard,812610,Ruby,guard,63,5762,
61,A Ruby/Rack web server built for concurrency,puma/puma,2441517,Ruby,puma,104,5727,
62,A runtime developer console and IRB alternative with powerful introspection capabilities.,pry/pry,1145832,Ruby,pry,169,5647,32.4215246636771
63,help to kill N+1 queries and unused eager loading,flyerhzm/bullet,277089,Ruby,bullet,70,5561,
64,Track changes to your rails models,paper-trail-gem/paper_trail,211588,Ruby,paper_trail,4,5517,
65,Complete Ruby geocoding solution.,alexreisner/geocoder,176780,Ruby,geocoder,38,5449,
66,"Automatically generate change log from your tags, issues, labels and pull requests on GitHub.",github-changelog-generator/github-changelog-generator,26018608,Ruby,github-changelog-generator,106,5433,
67,"📝 A curated list of awesome Raspberry Pi tools, projects, images and resources",thibmaek/awesome-raspberry-pi,68380413,Ruby,awesome-raspberry-pi,0,5414,
68,"Pagination library for Rails, Sinatra, Merb, DataMapper, and more",mislav/will_paginate,1227,Ruby,will_paginate,137,5402,
69,A static analysis security vulnerability scanner for Ruby on Rails applications,presidentbeef/brakeman,865250,Ruby,brakeman,52,5390,86.5853658536585
70,MIT视频公开课《计算机程序的构造和解释》中文化项目及课程学习资料搜集。,DeathKing/Learning-SICP,6688319,Ruby,Learning-SICP,5,5374,
71,Server automation framework and application,puppetlabs/puppet,910744,Ruby,puppet,33,5338,
72,Rails for API only applications,rails-api/rails-api,3748229,Ruby,rails-api,14,5271,
73,Config files for vim and tmux.,square/maximum-awesome,10750276,Ruby,maximum-awesome,33,5241,
74,A Ruby gem to load environment variables from `.env`. ,bkeepers/dotenv,5160706,Ruby,dotenv,6,5236,
75,Create beautiful JavaScript charts with one line of Ruby,ankane/chartkick,9906653,Ruby,chartkick,12,5229,
76,FriendlyId is the “Swiss Army bulldozer” of slugging and permalink plugins for ActiveRecord. It allows you to create pretty URL’s and work with human-friendly strings as if they were numeric ids for ActiveRecord models.,norman/friendly_id,10865,Ruby,friendly_id,76,5219,
77,A truly monstrous async web chat using no JS whatsoever on the frontend,kkuchta/css-only-chat,185419470,Ruby,css-only-chat,8,5158,
78,A Rails form builder plugin with semantically rich and accessible markup.,justinfrench/formtastic,7497,Ruby,formtastic,37,5085,
79,Manage Procfile-based applications,ddollar/foreman,672136,Ruby,foreman,37,5062,
80,Cucumber for Ruby,cucumber/cucumber-ruby,10664,Ruby,cucumber-ruby,15,5017,100.0
81,:microscope: A Ruby library for carefully refactoring critical paths.,github/scientist,16549503,Ruby,scientist,8,5007,99.0909090909091
