,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
23,A multi-platform .NET UI framework,AvaloniaUI/Avalonia,14964475,C#,Avalonia,424,6648,30.752688172043
24,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",MaterialDesignInXAML/MaterialDesignInXamlToolkit,30474266,C#,MaterialDesignInXamlToolkit,286,6647,
25,Simple REST and HTTP API Client for .NET,restsharp/RestSharp,374228,C#,RestSharp,87,6413,
26,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",OpenRA/OpenRA,959908,C#,OpenRA,1503,6386,28.118531430439
27,A convention-based object-object mapper in .NET. ,AutoMapper/AutoMapper,505380,C#,AutoMapper,6,6385,
28,ML.NET is an open source and cross-platform machine learning framework for .NET.,dotnet/machinelearning,132021166,C#,machinelearning,556,6083,
29,"Polly is a .NET resilience and transient-fault-handling library that allows developers to express policies such as Retry, Circuit Breaker, Timeout, Bulkhead Isolation, and Fallback in a fluent and thread-safe manner. From version 6.0.1, Polly targets .NET Standard 1.1 and 2.0+.",App-vNext/Polly,9864166,C#,Polly,25,6052,
30,Unity Machine Learning Agents Toolkit,Unity-Technologies/ml-agents,102904613,C#,ml-agents,132,5971,
31,A framework that allows developers to cobble together a Metro or Modern UI for their own WPF applications with minimal effort.,MahApps/MahApps.Metro,2584777,C#,MahApps.Metro,83,5943,
32,One framework for creating powerful cross-platform games.,MonoGame/MonoGame,1579990,C#,MonoGame,758,5909,
33,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,cefsharp/CefSharp,1135454,C#,CefSharp,67,5832,
34,"[Archived] ASP.NET Core MVC is a model view controller framework for building dynamic web sites with clean separation of concerns, including the merged MVC, Web API, and Web Pages w/ Razor. Project moved to https://github.com/aspnet/AspNetCore",aspnet/Mvc,15126429,C#,Mvc,0,5769,
35,🍅冲出你的窗口，free ss/ssr/vmess分享、IPFS、暗网及蹭网教程、Git镜像等其他资源存储库,hoodiearon/WebSiteOutlook,121637551,C#,WebSiteOutlook,0,5582,
36,Chocolatey - the package manager for Windows,chocolatey/choco,28647218,C#,choco,583,5513,19.5054095826893
37,Unity C# reference source code,Unity-Technologies/UnityCsReference,126486701,C#,UnityCsReference,0,5392,
38,Documentation for ASP.NET Core,aspnet/AspNetCore.Docs,28239455,C#,AspNetCore.Docs,487,5243,
39,Orleans - Distributed Virtual Actor Model,dotnet/orleans,28232663,C#,orleans,497,5067,
40,微信公众平台SDK Senparc.Weixin for C#，支持.NET Framework及.NET Core。已支持微信公众号、小程序、小游戏、企业号、企业微信、开放平台、微信支付、JSSDK、微信周边等全平台。 WeChat SDK for C#.,JeffreySu/WeiXinMPSDK,7560589,C#,WeiXinMPSDK,70,5067,
