,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
13,A framework for building native Windows apps with React.,microsoft/react-native-windows,48009214,C#,react-native-windows,329,165177,9301,
14,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",thangchung/awesome-dotnet-core,54086969,C#,awesome-dotnet-core,41,1099,9171,
15,.NET Decompiler,icsharpcode/ILSpy,1327739,C#,ILSpy,118,32424,7945,
16,"Mono open source ECMA CLI, C# and .NET implementation.",mono/mono,791611,C#,mono,1360,530291,7914,
17,Incredibly simple real-time web for .NET,SignalR/SignalR,2087064,C#,SignalR,44,44180,7724,
18,Entity Framework Core is a lightweight and extensible version of the popular Entity Framework data access technology,aspnet/EntityFrameworkCore,16157746,C#,EntityFrameworkCore,1361,78650,7685,
19,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",NickeManarin/ScreenToGif,64713769,C#,ScreenToGif,161,15936,7350,
20,Json.NET is a popular high-performance JSON framework for .NET,JamesNK/Newtonsoft.Json,3476845,C#,Newtonsoft.Json,322,25510,6923,
21,ASP.NET Boilerplate - Web Application Framework,aspnetboilerplate/aspnetboilerplate,12201538,C#,aspnetboilerplate,204,57906,6893,
22,"Lightweight, low-ceremony, framework for building HTTP based services on .Net and Mono",NancyFx/Nancy,738250,C#,Nancy,189,45458,6757,
23,A multi-platform .NET UI framework,AvaloniaUI/Avalonia,14964475,C#,Avalonia,424,62228,6648,44.90096
24,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",MaterialDesignInXAML/MaterialDesignInXamlToolkit,30474266,C#,MaterialDesignInXamlToolkit,286,39928,6647,
25,Simple REST and HTTP API Client for .NET,restsharp/RestSharp,374228,C#,RestSharp,87,38055,6413,
26,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",OpenRA/OpenRA,959908,C#,OpenRA,1503,140956,6386,
27,A convention-based object-object mapper in .NET. ,AutoMapper/AutoMapper,505380,C#,AutoMapper,6,72423,6385,
28,ML.NET is an open source and cross-platform machine learning framework for .NET.,dotnet/machinelearning,132021166,C#,machinelearning,556,48076,6083,72.90160
29,"Polly is a .NET resilience and transient-fault-handling library that allows developers to express policies such as Retry, Circuit Breaker, Timeout, Bulkhead Isolation, and Fallback in a fluent and thread-safe manner. From version 6.0.1, Polly targets .NET Standard 1.1 and 2.0+.",App-vNext/Polly,9864166,C#,Polly,25,2848,6052,
30,Unity Machine Learning Agents Toolkit,Unity-Technologies/ml-agents,102904613,C#,ml-agents,132,402327,5971,
31,A framework that allows developers to cobble together a Metro or Modern UI for their own WPF applications with minimal effort.,MahApps/MahApps.Metro,2584777,C#,MahApps.Metro,83,115214,5943,
32,One framework for creating powerful cross-platform games.,MonoGame/MonoGame,1579990,C#,MonoGame,758,80480,5909,
33,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,cefsharp/CefSharp,1135454,C#,CefSharp,67,277549,5832,
34,"[Archived] ASP.NET Core MVC is a model view controller framework for building dynamic web sites with clean separation of concerns, including the merged MVC, Web API, and Web Pages w/ Razor. Project moved to https://github.com/aspnet/AspNetCore",aspnet/Mvc,15126429,C#,Mvc,0,72119,5769,
35,🍅冲出你的窗口，free ss/ssr/vmess分享、IPFS、暗网及蹭网教程、Git镜像等其他资源存储库,hoodiearon/WebSiteOutlook,121637551,C#,WebSiteOutlook,0,25738,5582,
36,Chocolatey - the package manager for Windows,chocolatey/choco,28647218,C#,choco,583,22682,5513,
37,Unity C# reference source code,Unity-Technologies/UnityCsReference,126486701,C#,UnityCsReference,0,21149,5392,
38,Documentation for ASP.NET Core,aspnet/AspNetCore.Docs,28239455,C#,AspNetCore.Docs,485,707676,5243,
39,微信公众平台SDK Senparc.Weixin for C#，支持.NET Framework及.NET Core。已支持微信公众号、小程序、小游戏、企业号、企业微信、开放平台、微信支付、JSSDK、微信周边等全平台。 WeChat SDK for C#.,JeffreySu/WeiXinMPSDK,7560589,C#,WeiXinMPSDK,70,131661,5067,
40,Orleans - Distributed Virtual Actor Model,dotnet/orleans,28232663,C#,orleans,497,54420,5066,
