,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
126,"OpenID Certified™ OpenID Connect & OAuth2 Server (OP, OpenID Provider) - cloud native, security-first, open source API security for your infrastructure. Written in Go. SDKs for any language.",ory/hydra,36071697,Go,hydra,26,66597,6307,
127,《Go 编程基础》是一套针对 Google 出品的 Go 语言的视频语音教程，主要面向新手级别的学习者。,Unknwon/go-fundamental-programming,8915285,Go,go-fundamental-programming,1,262,6305,
128,Manage local application configuration files using templates and data from etcd or consul,kelseyhightower/confd,13234395,Go,confd,113,12122,6253,
129,Idiomatic HTTP Middleware for Golang,urfave/negroni,19922293,Go,negroni,9,5472,6248,88.51064
130,Tile38 is a geospatial database and realtime geofencing server. 🌐,tidwall/tile38,53171300,Go,tile38,70,42296,6228,
131,go port of shadowsocks (Deprecated),shadowsocks/shadowsocks-go,6486840,Go,shadowsocks-go,39,402,6188,
132,The Go Cloud Development Kit (Go CDK): A library and tools for open cloud development in Go.,google/go-cloud,126250425,Go,go-cloud,147,26726,6183,71.17411
133,gRPC to JSON proxy generator following the gRPC HTTP spec,grpc-ecosystem/grpc-gateway,33352201,Go,grpc-gateway,136,2379,6143,53.06122
134,Simulating shitty network connections so you can build better systems.,tylertreat/comcast,26516975,Go,comcast,17,71,6102,
135,Go client for Redis,gomodule/redigo,4022652,Go,redigo,13,382,6053,
136,CLI tool for spawning and running containers according to the OCI specification,opencontainers/runc,36960321,Go,runc,250,7573,5985,
137,"HTTP load generator, ApacheBench (ab) replacement, formerly known as rakyll/boom",rakyll/hey,67213524,Go,hey,74,588,5968,59.30851
138,Type-safe Redis client for Golang,go-redis/redis,5179099,Go,redis,33,2276,5954,
139,Fast key-value DB in Go.,dgraph-io/badger,80087836,Go,badger,58,12720,5922,
140,Cross-platform client for PostgreSQL databases,sosedoff/pgweb,24968828,Go,pgweb,36,22150,5918,
141,"GoDS (Go Data Structures). Containers (Sets, Lists, Stacks, Maps, Trees), Sets (HashSet, TreeSet, LinkedHashSet), Lists (ArrayList, SinglyLinkedList, DoublyLinkedList), Stacks (LinkedListStack, ArrayStack), Maps (HashMap, TreeMap, HashBidiMap, TreeBidiMap, LinkedHashMap), Trees (RedBlackTree, AVLTree, BTree, BinaryHeap), Comparators, Iterators, Enumerables, Sort, JSON",emirpasic/gods,31660590,Go,gods,21,569,5876,
142,Cross platform GUI in Go based on Material Design,fyne-io/fyne,120227732,Go,fyne,52,24492,5849,
143,weather app for the terminal,schachmat/wego,26971815,Go,wego,30,200,5830,
144,"High-Performance server for NATS, the cloud native messaging system.",nats-io/nats-server,6443435,Go,nats-server,46,5352,5820,
145,"lightweight, idiomatic and composable router for building Go HTTP services",go-chi/chi,44344606,Go,chi,30,3483,5751,
