,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
23,"A simple, Git-powered wiki with a sweet API and local frontend.",gollum/gollum,585285,Ruby,gollum,29,14510,10039,
24,"Spree is a complete, modular & API-driven open source ecommerce solution for Ruby on Rails",spree/spree,3314,Ruby,spree,140,91755,9817,
25,"Simple, efficient background processing for Ruby",mperham/sidekiq,3195124,Ruby,sidekiq,18,9968,9650,
26,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?,imathis/octopress,341626,Ruby,octopress,267,170801,9515,
27,Where programmers share ideas and help each other grow,thepracticaldev/dev.to,73648678,Ruby,dev.to,351,32815,9505,
28,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity.",jordansissel/fpm,1217404,Ruby,fpm,588,2533,9168,
29,Manage complex tmux sessions easily,tmuxinator/tmuxinator,1157388,Ruby,tmuxinator,86,819,9069,
30,Easy file attachment management for ActiveRecord,thoughtbot/paperclip,8393,Ruby,paperclip,17,3465,9053,
31,📨 A fully featured open source mail delivery platform for incoming & outgoing e-mail,atech/postal,88740103,Ruby,postal,304,2263,8987,
32,An opinionated framework for creating REST-like APIs in Ruby.,ruby-grape/grape,812393,Ruby,grape,213,4985,8854,
33,A Lightweight Sass Tool Set,thoughtbot/bourbon,1653882,Ruby,bourbon,4,3203,8847,
34,Acceptance test framework for web applications,teamcapybara/capybara,361310,Ruby,capybara,13,11272,8811,
35,"Resque is a Redis-backed Ruby library for creating background jobs, placing them on multiple queues, and processing them later.",resque/resque,275604,Ruby,resque,48,2415,8534,
36,The administration framework for Ruby on Rails applications.,activeadmin/activeadmin,611921,Ruby,activeadmin,251,8828,8470,98.38448
37,"Classier solution for file uploads for Rails, Sinatra and other Ruby web frameworks",carrierwaveuploader/carrierwave,47087,Ruby,carrierwave,122,3428,8352,
38,A guide for programming in style.,thoughtbot/guides,5200099,Ruby,guides,8,500,8084,
39,Fluentd: Unified Logging Layer (project under CNCF),fluent/fluentd,1918677,Ruby,fluentd,223,16273,7972,
40,Cron jobs in Ruby,javan/whenever,129791,Ruby,whenever,74,514,7948,
41,An uroboros program with 100+ programming languages,mame/quine-relay,11423758,Ruby,quine-relay,7,10086,7887,
42,"A library for generating fake data such as names, addresses, and phone numbers.",stympy/faker,96395,Ruby,faker,83,4536,7761,
43,"⚡ A Scope & Engine based, clean, powerful, customizable and sophisticated paginator for Ruby webapps",kaminari/kaminari,1333863,Ruby,kaminari,26,1352,7491,
44,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup.",plataformatec/simple_form,451035,Ruby,simple_form,21,2603,7398,
45,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",Shopify/liquid,15435,Ruby,liquid,149,4409,7181,
46,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,sferik/rails_admin,810796,Ruby,rails_admin,261,17509,7085,
47,OmniAuth is a flexible authentication system utilizing Rack middleware.,omniauth/omniauth,587311,Ruby,omniauth,80,2867,6868,
48,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",github/linguist,1725199,Ruby,linguist,37,35050,6813,
49,Better error page for Rack apps,BetterErrors/better_errors,7066560,Ruby,better_errors,56,1291,6525,
50,Minimal authorization through OO design and pure Ruby classes,varvet/pundit,6529205,Ruby,pundit,17,430,6510,
51,A library for setting up Ruby objects as test data.,thoughtbot/factory_bot,21829,Ruby,factory_bot,25,2246,6501,
